GeneID	Type	Chromosome	Start	End
CYP4Z1	Gene	chr1	47523250	47570252
AGBL4	Gene	chr1	50209131	50395936
AGBL4	Gene	chr1	50487835	50497835
C1orf185	Gene	chr1	51599043	51609043
nonCoding998	Noncoding	chr1	51671285	51681285
EPS15	Gene	chr1	51833457	51866912
EPS15	Gene	chr1	51882548	51892548
EPS15	Gene	chr1	51912548	51922548
OSBPL9	Gene	chr1	52154157	52164157
OSBPL9	Gene	chr1	52178031	52188031
RAB3B	Gene	chr1	52378387	52398387
CC2D1B	Gene	chr1	52817601	52827601
SCP2	Gene	chr1	53479618	53499618
GLIS1	Gene	chr1	54063038	54073038
OMA1,DAB1	Gene	chr1	58995694	59022261
nonCoding1149	Noncoding	chr1	59379450	59389450
FGGY	Gene	chr1	60129245	60139245
nonCoding1279	Noncoding	chr1	63420023	63430023
ROR1	Gene	chr1	64344304	64364304
DNAJC6	Gene	chr1	65834499	65844499
nonCoding1340	Noncoding	chr1	66089442	66158539
MIER1	Gene	chr1	67411010	67457983
nonCoding1394	Noncoding	chr1	68500542	68510542
nonCoding1474	Noncoding	chr1	69861334	69871334
LRRC7	Gene	chr1	70054608	70064608
LRRC7	Gene	chr1	70116302	70126302
SRSF11	Gene	chr1	70690610	70700610
PTGER3	Gene	chr1	71441386	71451386
nonCoding1563	Noncoding	chr1	73109533	73119533
nonCoding1575	Noncoding	chr1	73280890	73304079
nonCoding1585	Noncoding	chr1	73436152	73446152
nonCoding1592,nonCoding1593,nonCoding1594	Noncoding	chr1	73525354	73578265
LRRIQ3	Gene	chr1	74619957	74639957
nonCoding1678	Noncoding	chr1	75427399	75447399
SLC44A5	Gene	chr1	75692954	75702954
ST6GALNAC3	Gene	chr1	76621308	76631308
PTGFR	Gene	chr1	78797115	78807115
nonCoding1813	Noncoding	chr1	80286650	80296650
nonCoding1850	Noncoding	chr1	80912582	80922582
nonCoding1932	Noncoding	chr1	82751777	82761777
nonCoding1960	Noncoding	chr1	83139303	83149303
nonCoding1962	Noncoding	chr1	83159908	83169908
nonCoding2152,nonCoding2151	Noncoding	chr1	88527159	88547159
nonCoding2166	Noncoding	chr1	88717729	88727729
PKN2	Gene	chr1	89211334	89221334
nonCoding2217	Noncoding	chr1	89795532	89815532
KIAA1107,AC104836.1	Gene	chr1	92633896	92672201
GLMN	Gene	chr1	92736782	92746782
RPAP2	Gene	chr1	92788811	92859269
EVI5	Gene	chr1	93151999	93161999
BCAR3	Gene	chr1	94121330	94157443
DPYD	Gene	chr1	98065436	98075436
FRRS1	Gene	chr1	100210525	100230525
SLC30A7	Gene	chr1	101362873	101372873
nonCoding2733	Noncoding	chr1	102752094	102772094
nonCoding2780	Noncoding	chr1	104008700	104018700
nonCoding2806	Noncoding	chr1	104658077	104668077
nonCoding2825	Noncoding	chr1	104918288	104928288
nonCoding2828	Noncoding	chr1	104962750	104972750
nonCoding2891	Noncoding	chr1	106122658	106132658
NTNG1	Gene	chr1	107734617	107764617
NTNG1	Gene	chr1	107872509	107882509
VAV3	Gene	chr1	108238726	108248726
nonCoding3005	Noncoding	chr1	108604987	108614987
SYPL2	Gene	chr1	110009994	110019994
nonCoding3032	Noncoding	chr1	110505159	110525159
LAMTOR5	Gene	chr1	110939261	110949261
nonCoding3095	Noncoding	chr1	112657880	112667880
CAPZA1,ST7L	Gene	chr1	113081540	113238321
RSBN1,PHTF1	Gene	chr1	114301628	114311628
SYT6	Gene	chr1	114667606	114677606
CASQ2	Gene	chr1	116279618	116289618
nonCoding3229,MAB21L3	Gene	chr1	116620258	116669849
nonCoding3236	Noncoding	chr1	116725385	116745385
nonCoding3250	Noncoding	chr1	116962475	116989867
SPAG17	Gene	chr1	118594827	118620796
nonCoding3309	Noncoding	chr1	118793814	118803814
LIX1L,AC243547.3	Gene	chr1	145477367	145487367
nonCoding3438	Noncoding	chr1	147759069	147769069
nonCoding3450	Noncoding	chr1	149166928	149176928
SV2A,BOLA1	Gene	chr1	149864489	149874489
nonCoding3454	Noncoding	chr1	150014206	150024206
RPTN	Gene	chr1	152118214	152138214
LCE6A,nonCoding3490	Gene	chr1	152794129	152846511
nonCoding3499	Noncoding	chr1	153133481	153143481
PGLYRP3	Gene	chr1	153252157	153299983
ASH1L	Gene	chr1	155381535	155391535
ASH1L	Gene	chr1	155447433	155457433
RAB25	Gene	chr1	156030268	156040268
nonCoding3540	Noncoding	chr1	157125753	157135753
nonCoding3588,nonCoding3589	Noncoding	chr1	158169170	158198701
nonCoding3599	Noncoding	chr1	158488674	158498674
nonCoding3616	Noncoding	chr1	159207029	159227029
nonCoding3656	Noncoding	chr1	160935336	160945336
nonCoding3680	Noncoding	chr1	162885640	162895640
nonCoding3765	Noncoding	chr1	164292548	164302548
ALDH9A1,MGST3	Gene	chr1	165623006	165633006
CREG1	Gene	chr1	167522894	167532894
NME7	Gene	chr1	169094421	169267583
PRRC2C	Gene	chr1	171542856	171552856
nonCoding4023	Noncoding	chr1	172758391	172768391
nonCoding4025	Noncoding	chr1	172787096	172797096
RABGAP1L	Gene	chr1	174565469	174575469
RABGAP1L	Gene	chr1	174684250	174721364
nonCoding4113,nonCoding4114,nonCoding4115	Noncoding	chr1	176207308	176266964
nonCoding4159	Noncoding	chr1	177689224	177699224
AXDND1,AL160286.1	Gene	chr1	179432996	179442996
SHCBP1L	Gene	chr1	182884294	182894294
ARPC5	Gene	chr1	183588260	183610707
nonCoding4355,nonCoding4356	Noncoding	chr1	185565128	185595128
nonCoding4361	Noncoding	chr1	185626844	185646844
HMCN1	Gene	chr1	185749607	185777097
nonCoding4367	Noncoding	chr1	186187097	186207097
nonCoding4396	Noncoding	chr1	186977579	186997579
nonCoding4517,nonCoding4518	Noncoding	chr1	188869079	188891167
nonCoding4567	Noncoding	chr1	189787772	189797772
nonCoding4606	Noncoding	chr1	190740189	190750189
nonCoding4718	Noncoding	chr1	192674751	192684751
UCHL5	Gene	chr1	192981775	192991775
nonCoding4748	Noncoding	chr1	193317854	193378759
PPP1R12B	Gene	chr1	202397226	202407226
nonCoding5158	Noncoding	chr1	204689886	204699886
nonCoding5179	Noncoding	chr1	206203765	206213765
C1orf186,CTSE	Gene	chr1	206303172	206331692
nonCoding5209	Noncoding	chr1	208116185	208126185
nonCoding5298	Noncoding	chr1	209496349	209506349
nonCoding5311	Noncoding	chr1	209638328	209648328
nonCoding5318	Noncoding	chr1	209708328	209718328
nonCoding5448	Noncoding	chr1	214218199	214244701
nonCoding5504,nonCoding5505,nonCoding5503	Noncoding	chr1	215495612	215554239
nonCoding5512,nonCoding5513	Noncoding	chr1	215653084	215673084
KCTD3	Gene	chr1	215741894	215761894
MARC2	Gene	chr1	220926391	220936391
nonCoding5743	Noncoding	chr1	221723735	221733735
nonCoding5793,nonCoding5794,nonCoding5795,nonCoding5792,nonCoding5791	Noncoding	chr1	222350562	222424147
nonCoding5820,nonCoding5821,nonCoding5822,nonCoding5823,DISP1	Gene	chr1	222975637	223106678
nonCoding5833,SUSD4	Gene	chr1	223373323	223394118
CNIH3	Gene	chr1	224873907	224883907
nonCoding5857	Noncoding	chr1	224958830	224968830
ENAH	Gene	chr1	225750302	225760302
ITPKB	Gene	chr1	226850515	226870515
ZNF678	Gene	chr1	227805653	227825653
nonCoding5974	Noncoding	chr1	229488901	229498901
nonCoding5996,nonCoding5997,nonCoding5995	Noncoding	chr1	229986929	230026794
nonCoding6002	Noncoding	chr1	230088139	230127972
EGLN1	Gene	chr1	231504897	231524897
nonCoding6086	Noncoding	chr1	232960708	232970708
SLC35F3	Gene	chr1	234160802	234184299
SLC35F3	Gene	chr1	234317995	234327995
nonCoding6144,nonCoding6145,nonCoding6146,nonCoding6142,nonCoding6143	Noncoding	chr1	234767022	234844474
GPR137B,ERO1B	Gene	chr1	236379790	236399790
nonCoding6212	Noncoding	chr1	238219793	238229793
nonCoding6214	Noncoding	chr1	238239793	238259793
nonCoding6228	Noncoding	chr1	238447135	238457135
RGS7	Gene	chr1	241186403	241206403
EXO1	Gene	chr1	242043141	242053141
CATSPERE	Gene	chr1	244688663	244739983
SMYD3	Gene	chr1	246397384	246445508
OR14K1	Gene	chr1	247891815	247901815
nonCoding6434,nonCoding6433	Noncoding	chr1	247931749	247999182
nonCoding6435	Noncoding	chr1	248138226	248148226
nonCoding6437	Noncoding	chr1	248158226	248168226
OR2T6	Gene	chr1	248547901	248557901
nonCoding6446,nonCoding6444	Noncoding	chr1	248622639	248782412
ZMYND11	Gene	chr10	294301	304301
DIP2C	Gene	chr10	369385	379385
DIP2C	Gene	chr10	485519	534378
DIP2C,PRR26	Gene	chr10	688687	698687
nonCoding54249	Noncoding	chr10	1862185	1872185
nonCoding54329	Noncoding	chr10	3026284	3066284
nonCoding54369	Noncoding	chr10	3793777	3803777
nonCoding54399	Noncoding	chr10	4267506	4287506
nonCoding54470	Noncoding	chr10	5892574	5902574
nonCoding54513	Noncoding	chr10	7076804	7086804
SFMBT2	Gene	chr10	7327171	7337171
nonCoding54629	Noncoding	chr10	9489914	9499914
FRMD4A	Gene	chr10	14028684	14038684
MINDY3	Gene	chr10	15868258	15878258
nonCoding54776,nonCoding54777	Noncoding	chr10	15947209	15973716
nonCoding54857,nonCoding54858	Noncoding	chr10	19206669	19226669
nonCoding54862	Noncoding	chr10	19263427	19311282
MALRD1	Gene	chr10	19362892	19372892
nonCoding54901	Noncoding	chr10	21577939	21587939
MLLT10	Gene	chr10	21939280	21949280
DNAJC1	Gene	chr10	22050851	22060851
DNAJC1	Gene	chr10	22180896	22190896
nonCoding54929,nonCoding54930	Noncoding	chr10	22552086	22572086
nonCoding54932	Noncoding	chr10	22589747	22599747
BMI1,COMMD3-BMI1	Gene	chr10	22614844	22624844
SPAG6,nonCoding54933	Gene	chr10	22630012	22764244
nonCoding54941,nonCoding54942	Noncoding	chr10	23048457	23068457
nonCoding54971	Noncoding	chr10	23855336	23900523
ARHGAP21	Gene	chr10	24984027	24994027
GPR158	Gene	chr10	25661809	25681809
nonCoding55006	Noncoding	chr10	26067088	26077088
nonCoding55014	Noncoding	chr10	26180999	26190999
MYO3A	Gene	chr10	26328202	26350569
GAD2	Gene	chr10	26515640	26525640
nonCoding55021	Noncoding	chr10	26653245	26663245
APBB1IP	Gene	chr10	26728862	26738862
nonCoding55028	Noncoding	chr10	26883092	26910834
nonCoding55030	Noncoding	chr10	26942654	26952654
nonCoding55061	Noncoding	chr10	28055412	28065412
MPP7	Gene	chr10	28343485	28408770
nonCoding55126	Noncoding	chr10	29670034	29680034
nonCoding55157	Noncoding	chr10	30493804	30503804
nonCoding55200,nonCoding55199	Noncoding	chr10	31482925	31528606
ZEB1	Gene	chr10	31609177	31824102
nonCoding55208	Noncoding	chr10	31841894	31851894
nonCoding55257	Noncoding	chr10	33392480	33402480
nonCoding55276	Noncoding	chr10	33806482	33816482
nonCoding55318,nonCoding55319	Noncoding	chr10	34347146	34367146
CCNY	Gene	chr10	35626239	35656172
nonCoding55431	Noncoding	chr10	37730505	37786971
nonCoding55453,nonCoding55454,nonCoding55452,nonCoding55455	Noncoding	chr10	38141649	38225023
AL117339.5	Gene	chr10	38470345	38499716
nonCoding55464,nonCoding55462,nonCoding55461,nonCoding55463	Noncoding	chr10	38771570	38811570
RASGEF1A	Gene	chr10	43687347	43697347
OR13A1	Gene	chr10	45796410	45806410
nonCoding55811	Noncoding	chr10	55316024	55336024
nonCoding55821,nonCoding55822	Noncoding	chr10	55491483	55511483
PCDH15	Gene	chr10	56017783	56027783
PCDH15	Gene	chr10	56067091	56102269
PCDH15	Gene	chr10	56118853	56201791
nonCoding55852	Noncoding	chr10	57806170	57816170
nonCoding55865	Noncoding	chr10	57974655	57994655
nonCoding55894	Noncoding	chr10	58387604	58397604
nonCoding55903	Noncoding	chr10	58559529	58569529
nonCoding55910,nonCoding55907,nonCoding55909	Noncoding	chr10	58619698	58703769
nonCoding55919	Noncoding	chr10	58826621	58836621
nonCoding55941,nonCoding55942,nonCoding55943	Noncoding	chr10	59098899	59147850
nonCoding55988	Noncoding	chr10	59734836	59744836
nonCoding56003,IPMK	Gene	chr10	59917120	60055859
nonCoding56094	Noncoding	chr10	62934549	62944549
nonCoding56111	Noncoding	chr10	63251471	63261471
ARID5B	Gene	chr10	63756671	63766671
RTKN2,nonCoding56139	Gene	chr10	64009231	64049231
nonCoding56197	Noncoding	chr10	65798438	65828438
nonCoding56210	Noncoding	chr10	65945980	65955980
nonCoding56212	Noncoding	chr10	65981178	66011178
nonCoding56217,nonCoding56218,nonCoding56216	Noncoding	chr10	66020839	66070614
nonCoding56223,nonCoding56224,nonCoding56225	Noncoding	chr10	66105934	66168061
nonCoding56229,nonCoding56231	Noncoding	chr10	66200620	66240651
CTNNA3	Gene	chr10	68191539	68201539
CTNNA3	Gene	chr10	68411571	68421571
TSPAN15	Gene	chr10	71221982	71231982
nonCoding56388	Noncoding	chr10	72828331	72838331
ASCC1	Gene	chr10	73920676	73930676
ASCC1	Gene	chr10	73958174	73968174
MICU1	Gene	chr10	74339155	74359155
nonCoding56417	Noncoding	chr10	74424819	74434819
MCU	Gene	chr10	74493547	74503547
SYNPO2L,MYOZ1	Gene	chr10	75398436	75408436
CAMK2G	Gene	chr10	75609239	75619239
KAT6B	Gene	chr10	76635639	76645639
LRMDA	Gene	chr10	77472269	77502269
LRMDA	Gene	chr10	77592722	77602722
nonCoding56566	Noncoding	chr10	81440107	81450107
SFTPD	Gene	chr10	81727408	81737408
NRG3	Gene	chr10	84042039	84196436
nonCoding56705	Noncoding	chr10	85249258	85259258
nonCoding56756	Noncoding	chr10	86284011	86294011
GRID1	Gene	chr10	88127036	88137036
PTEN,KLLN	Gene	chr10	89623924	89683924
RNLS	Gene	chr10	90284810	90294810
PANK1	Gene	chr10	91365692	91375692
nonCoding56990	Noncoding	chr10	93087252	93097252
nonCoding57042,nonCoding57043	Noncoding	chr10	95009206	95029206
MYOF	Gene	chr10	95097000	95107000
MYOF	Gene	chr10	95117314	95137314
CYP2C18,AL583836.1	Gene	chr10	96451936	96481808
SFRP5	Gene	chr10	99531895	99541895
ABCC2	Gene	chr10	101538190	101548190
HIF1AN,NDUFB8,AL133352.1	Gene	chr10	102239365	102336247
C10orf76	Gene	chr10	103765924	103775924
nonCoding57175	Noncoding	chr10	103939734	103949734
GBF1	Gene	chr10	104125401	104147112
PCGF6	Gene	chr10	105084915	105094915
SORCS3	Gene	chr10	106975777	106985777
nonCoding57213	Noncoding	chr10	107192959	107202959
nonCoding57272,nonCoding57273	Noncoding	chr10	107968905	107994123
nonCoding57461	Noncoding	chr10	111146568	111156568
nonCoding57467	Noncoding	chr10	111205482	111226888
nonCoding57480	Noncoding	chr10	111374122	111384122
ADD3	Gene	chr10	111794238	111814238
SMNDC1	Gene	chr10	112050059	112060059
nonCoding57680	Noncoding	chr10	116745520	116755520
ATRNL1	Gene	chr10	117346691	117356691
PNLIPRP3	Gene	chr10	118230084	118255708
INPP5F	Gene	chr10	121513186	121523186
INPP5F	Gene	chr10	121555646	121565646
nonCoding57861	Noncoding	chr10	122132050	122142050
WDR11	Gene	chr10	122638867	122663716
nonCoding57903	Noncoding	chr10	122913937	122923937
nonCoding57913	Noncoding	chr10	123070581	123080581
FGFR2	Gene	chr10	123251519	123261519
FAM24B	Gene	chr10	124613562	124623562
EDRF1,MMP21	Gene	chr10	127446104	127456104
nonCoding58172	Noncoding	chr10	130880716	130890716
nonCoding58178	Noncoding	chr10	130958902	130968902
nonCoding58199	Noncoding	chr10	131194418	131204418
EBF3	Gene	chr10	131705406	131715406
nonCoding58233	Noncoding	chr10	132228511	132238511
nonCoding58307	Noncoding	chr10	133613265	133623265
INPP5A	Gene	chr10	134448941	134468941
nonCoding58352	Noncoding	chr11	2078653	2098653
nonCoding58370	Noncoding	chr11	3221792	3231792
nonCoding58384,nonCoding58385,nonCoding58386	Noncoding	chr11	4524793	4566253
nonCoding58392	Noncoding	chr11	5050804	5071287
OR52Z1	Gene	chr11	5188142	5198142
OR52H1,HBG2	Gene	chr11	5553285	5583285
nonCoding58400,nonCoding58399	Noncoding	chr11	6097050	6119053
OR2D2	Gene	chr11	6910146	6920146
SYT9	Gene	chr11	7473894	7483894
OR5P2	Gene	chr11	7812084	7822084
SBF2	Gene	chr11	10293468	10303468
nonCoding58553	Noncoding	chr11	13612034	13622034
nonCoding58561	Noncoding	chr11	13777549	13787549
RRAS2	Gene	chr11	14334826	14344826
nonCoding58575	Noncoding	chr11	14361747	14400717
INSC	Gene	chr11	15178532	15198532
nonCoding58675	Noncoding	chr11	19064054	19074054
LUZP2	Gene	chr11	24633620	24643620
LUZP2	Gene	chr11	25020012	25094133
nonCoding58869,nonCoding58871	Noncoding	chr11	25192802	25232546
nonCoding58925	Noncoding	chr11	26101637	26111637
nonCoding58928	Noncoding	chr11	26141055	26151055
ANO3	Gene	chr11	26565879	26575879
ANO3	Gene	chr11	26654161	26698093
METTL15	Gene	chr11	28430927	28440927
MPPED2	Gene	chr11	30578308	30588308
nonCoding59143	Noncoding	chr11	30780228	30790228
nonCoding59175	Noncoding	chr11	32891953	32901953
nonCoding59186	Noncoding	chr11	33498533	33508533
KIAA1549L	Gene	chr11	33693534	33703534
CAPRIN1	Gene	chr11	34074103	34094103
ABTB2	Gene	chr11	34170853	34180853
nonCoding59209	Noncoding	chr11	34433229	34443229
APIP	Gene	chr11	34913160	34923160
TRIM44	Gene	chr11	35684386	35694386
TRIM44	Gene	chr11	35730120	35774421
nonCoding59329	Noncoding	chr11	37737192	37747192
nonCoding59345	Noncoding	chr11	38014552	38036822
nonCoding59352	Noncoding	chr11	38131039	38141039
nonCoding59358,nonCoding59359	Noncoding	chr11	38234980	38288981
nonCoding59426	Noncoding	chr11	39336991	39361339
nonCoding59428	Noncoding	chr11	39417922	39427922
LRRC4C	Gene	chr11	40545180	40555180
nonCoding59520	Noncoding	chr11	42323628	42343628
nonCoding59554	Noncoding	chr11	42761125	42771125
TTC17	Gene	chr11	43373633	43433572
AMBRA1	Gene	chr11	46427924	46437924
PTPMT1,KBTBD4,CELF1,NDUFS3,FAM180B,C1QTNF4	Gene	chr11	47587371	47646620
nonCoding59719	Noncoding	chr11	48539714	48585147
nonCoding59777	Noncoding	chr11	49856663	49866663
nonCoding59883,nonCoding59884	Noncoding	chr11	55160369	55243141
nonCoding59894	Noncoding	chr11	55667708	55677708
nonCoding59933	Noncoding	chr11	56720776	56761747
CTNND1	Gene	chr11	57539119	57585312
GLYATL2	Gene	chr11	58618378	58638378
PATL1,nonCoding60011,OSBP	Gene	chr11	59363457	59461627
nonCoding60019	Noncoding	chr11	59720687	59730687
nonCoding60042	Noncoding	chr11	60415149	60453163
PRPF19	Gene	chr11	60658639	60668639
CD5,VPS37C	Gene	chr11	60891342	60962218
VWCE,DDB1	Gene	chr11	61020392	61072575
PPP1R32,AP003108.2	Gene	chr11	61247018	61257018
INCENP	Gene	chr11	61879407	61900408
SCGB1D4	Gene	chr11	62059890	62069890
AHNAK	Gene	chr11	62314467	62364321
SLC22A10	Gene	chr11	63025317	63035317
MRPL11	Gene	chr11	66198547	66208547
RBM14,RBM14-RBM4	Gene	chr11	66379083	66419083
LRP5	Gene	chr11	68158205	68238963
PDE2A	Gene	chr11	72295582	72305582
C2CD3	Gene	chr11	73761528	73771528
P4HA3,PPME1	Gene	chr11	73935984	73945984
EMSY	Gene	chr11	76249939	76259939
PAK1	Gene	chr11	77120903	77156736
nonCoding60295,nonCoding60294,nonCoding60296,nonCoding60297	Noncoding	chr11	78297391	78355296
nonCoding60499	Noncoding	chr11	81835936	81845936
DLG2	Gene	chr11	83627378	83637378
DLG2	Gene	chr11	85178439	85188439
CREBZF	Gene	chr11	85381381	85391381
nonCoding60665	Noncoding	chr11	89380242	89390242
nonCoding60737	Noncoding	chr11	91105097	91125097
nonCoding60743	Noncoding	chr11	91163640	91183640
nonCoding60763	Noncoding	chr11	91461147	91490908
nonCoding60785	Noncoding	chr11	91744303	91776011
nonCoding60793	Noncoding	chr11	91869914	91889914
AMOTL1	Gene	chr11	94473888	94493888
nonCoding60976,nonCoding60977	Noncoding	chr11	97188971	97218971
CNTN5	Gene	chr11	99490754	99500754
PGR	Gene	chr11	100895136	100905136
nonCoding61118	Noncoding	chr11	101082559	101144682
C11orf70	Gene	chr11	101928922	101938922
DYNC2H1	Gene	chr11	103204217	103214217
nonCoding61166	Noncoding	chr11	103383824	103393824
nonCoding61177,nonCoding61178	Noncoding	chr11	103523539	103543539
nonCoding61246	Noncoding	chr11	104793464	104803464
CASP1,CASP5,CARD16	Gene	chr11	104892942	104912942
nonCoding61251	Noncoding	chr11	105003836	105034989
nonCoding61392	Noncoding	chr11	109303336	109313336
nonCoding61399	Noncoding	chr11	109414446	109424446
POU2AF1	Gene	chr11	111287930	111297930
DIXDC1	Gene	chr11	111821245	111831245
nonCoding61512	Noncoding	chr11	112150511	112160511
nonCoding61544	Noncoding	chr11	112514940	112524940
nonCoding61600	Noncoding	chr11	114249267	114259267
CADM1	Gene	chr11	115329254	115339254
CADM1	Gene	chr11	115349254	115359254
nonCoding61661	Noncoding	chr11	115620334	115630334
nonCoding61663	Noncoding	chr11	115631102	115660840
nonCoding61742	Noncoding	chr11	117757550	117767550
nonCoding61831,nonCoding61833	Noncoding	chr11	121674612	121761504
C11orf63	Gene	chr11	122773867	122783867
OR8G5	Gene	chr11	124116859	124143437
KIRREL3	Gene	chr11	126398336	126408336
KIRREL3	Gene	chr11	126587144	126597144
nonCoding61982	Noncoding	chr11	127040596	127050596
nonCoding62007	Noncoding	chr11	127404923	127414923
ZBTB44	Gene	chr11	130171695	130181695
nonCoding62123	Noncoding	chr11	130189408	130199408
nonCoding62155	Noncoding	chr11	130612018	130622018
OPCML	Gene	chr11	133310769	133348292
KDM5A	Gene	chr12	457401	493046
ERC1	Gene	chr12	1213353	1579822
nonCoding62287	Noncoding	chr12	1612809	1622809
nonCoding62295	Noncoding	chr12	2861015	2871015
VWF	Gene	chr12	6132232	6142232
nonCoding62386	Noncoding	chr12	6349866	6359866
TNFRSF1A	Gene	chr12	6438892	6448892
nonCoding62404	Noncoding	chr12	7743687	7753687
CLEC6A	Gene	chr12	8601942	8625441
CLEC2A,KLRF2	Gene	chr12	10047266	10067266
CLEC1A	Gene	chr12	10241071	10251071
KLRD1	Gene	chr12	10410107	10420107
nonCoding62455	Noncoding	chr12	10678801	10688801
nonCoding62465	Noncoding	chr12	10937973	10947973
PRR4,TAS2R14,PRH1,AC018630.6	Gene	chr12	11114200	11124200
PRR4,TAS2R50,TAS2R14,PRH1,AC018630.6,TAS2R20	Gene	chr12	11135776	11165776
PRR4,TAS2R14,PRH1,AC018630.6,TAS2R46	Gene	chr12	11195267	11268835
PRR4,TAS2R14,PRH1,TAS2R30,AC018630.6	Gene	chr12	11278835	11298835
nonCoding62504	Noncoding	chr12	13310121	13320121
GUCY2C	Gene	chr12	14795272	14805272
PTPRO	Gene	chr12	15522393	15532393
PTPRO	Gene	chr12	15712698	15722698
nonCoding62670	Noncoding	chr12	18160336	18170336
AEBP2	Gene	chr12	19815648	19847438
SLCO1C1	Gene	chr12	20893830	20903830
SLCO1B3,AC011604.2	Gene	chr12	20987466	21043170
AC011604.2	Gene	chr12	21101413	21172453
SLCO1A2	Gene	chr12	21491877	21501877
LDHB	Gene	chr12	21777730	21813261
nonCoding62749	Noncoding	chr12	21927986	21947986
C2CD5	Gene	chr12	22683250	22693250
CCDC91	Gene	chr12	28426954	28570909
nonCoding63042	Noncoding	chr12	30556026	30566026
nonCoding63076	Noncoding	chr12	31407523	31417523
FAM60A	Gene	chr12	31434291	31454291
DENND5B	Gene	chr12	31552266	31562266
nonCoding63104	Noncoding	chr12	33095938	33124998
nonCoding63121	Noncoding	chr12	33359402	33408305
nonCoding63140	Noncoding	chr12	33717631	33737631
nonCoding63180	Noncoding	chr12	34364961	34374961
nonCoding63299,nonCoding63298	Noncoding	chr12	39362786	39382786
nonCoding63336	Noncoding	chr12	40822678	40832678
PPHLN1	Gene	chr12	42744032	42804222
nonCoding63393	Noncoding	chr12	43003968	43013968
nonCoding63445	Noncoding	chr12	43643433	43653433
TMEM117	Gene	chr12	44239262	44249262
nonCoding63470	Noncoding	chr12	44850171	44874524
NELL2	Gene	chr12	45025075	45035075
nonCoding63482	Noncoding	chr12	45550980	45560980
ARID2	Gene	chr12	46152607	46185174
SLC38A1	Gene	chr12	46663283	46673283
OR10AD1	Gene	chr12	48590586	48600586
C12orf54	Gene	chr12	48873256	48904756
SPATS2	Gene	chr12	49892004	49902004
PRPF40B,FMNL3	Gene	chr12	50026805	50036805
KRT85	Gene	chr12	52750138	52760138
KRT6B	Gene	chr12	52845819	52855819
nonCoding63661	Noncoding	chr12	53236868	53256868
SOAT2	Gene	chr12	53503649	53552011
nonCoding63672	Noncoding	chr12	54201984	54221984
nonCoding63676	Noncoding	chr12	54255706	54265706
CBX5	Gene	chr12	54628002	54638002
CBX5	Gene	chr12	54654625	54664625
NFE2,HNRNPA1	Gene	chr12	54679667	54689667
TESPA1	Gene	chr12	55335901	55382905
nonCoding63716,nonCoding63714	Noncoding	chr12	55712536	55818904
OR6C70	Gene	chr12	55855086	55865086
SARNP,AC023055.1	Gene	chr12	56168702	56178702
CS,COQ10A	Gene	chr12	56660996	56670996
nonCoding63725,nonCoding63726	Noncoding	chr12	56762033	56782033
